U,d,h,j,Isp,nu_t,T,m_a
2.500000000000000000e+02,3.610804728896868454e+01,8.608513212836896855e+00,2.615999982129522672e-01,1.428028798151891579e+03,1.255649179279255678e-01,1.254845852969067366e+01,8.957450290019420835e-01
2.510000000000000000e+02,3.618019131152416179e+01,8.622568627144566733e+00,2.602279028655131166e-01,1.430882005388473544e+03,1.265253057788816859e-01,1.261922261494497199e+01,8.990001668341475183e-01
2.520000000000000000e+02,3.625219176345863303e+01,8.636596070395325953e+00,2.588681110883295777e-01,1.433729534583822669e+03,1.274892520493505210e-01,1.269010950754654132e+01,9.022546535429047943e-01
2.530000000000000000e+02,3.632404949851637355e+01,8.650595708919372129e+00,2.575204664212872863e-01,1.436571419502472509e+03,1.284567561933187552e-01,1.276111896358683495e+01,9.055084930001271459e-01
2.540000000000000000e+02,3.639576536201371226e+01,8.664567707404932762e+00,2.561848149810537767e-01,1.439407693575643407e+03,1.294278176680136727e-01,1.283225074060484516e+01,9.087616890395044944e-01
2.550000000000000000e+02,3.646734019095507051e+01,8.678512228920872928e+00,2.548610054089914811e-01,1.442238389905829081e+03,1.304024359338711025e-01,1.290350459757284440e+01,9.120142454570309143e-01
2.560000000000000000e+02,3.653877481414691175e+01,8.692429434938897970e+00,2.535488888203186741e-01,1.445063541271304302e+03,1.313806104545037767e-01,1.297488029488232009e+01,9.152661660115207765e-01
2.570000000000000000e+02,3.661007005230973732e+01,8.706319485355367149e+00,2.522483187544824479e-01,1.447883180130554592e+03,1.323623406966705773e-01,1.304637759433009059e+01,9.185174544251167861e-01
2.580000000000000000e+02,3.668122671818809266e+01,8.720182538512732506e+00,2.509591511267109665e-01,1.450697338626624742e+03,1.333476261302455335e-01,1.311799625910464151e+01,9.217681143837893609e-01
2.590000000000000000e+02,3.675224561665865508e+01,8.734018751220590460e+00,2.496812441807138017e-01,1.453506048591397303e+03,1.343364662281881783e-01,1.318973605377260583e+01,9.250181495378260177e-01
2.600000000000000000e+02,3.682312754483648121e+01,8.747828278776387023e+00,2.484144584424956559e-01,1.456309341549789224e+03,1.353288604665129624e-01,1.326159674426546964e+01,9.282675635023143190e-01
2.610000000000000000e+02,3.689387329217935019e+01,8.761611274985741105e+00,2.471586566752577430e-01,1.459107248723884823e+03,1.363248083242605269e-01,1.333357809786640935e+01,9.315163598576132742e-01
2.620000000000000000e+02,3.696448364059038738e+01,8.775367892182446283e+00,2.459137038353526594e-01,1.461899801036989629e+03,1.373243092834685042e-01,1.340567988319737225e+01,9.347645421498216312e-01
2.630000000000000000e+02,3.703495936451886905e+01,8.789098281248096001e+00,2.446794670292681828e-01,1.464687029117618295e+03,1.383273628291424306e-01,1.347790187020622810e+01,9.380121138912312917e-01
2.640000000000000000e+02,3.710530123105933598e+01,8.802802591631410323e+00,2.434558154716090217e-01,1.467468963303414967e+03,1.393339684492282404e-01,1.355024383015421741e+01,9.412590785607806154e-01
2.650000000000000000e+02,3.717551000004899464e+01,8.816480971367198549e+00,2.422426204440526476e-01,1.470245633645005455e+03,1.403441256345838162e-01,1.362270553560346009e+01,9.445054396044932910e-01
2.660000000000000000e+02,3.724558642416349841e+01,8.830133567095028724e+00,2.410397552552505096e-01,1.473017069909784595e+03,1.413578338789519551e-01,1.369528676040470216e+01,9.477512004359147646e-01
2.670000000000000000e+02,3.731553124901107310e+01,8.843760524077556084e+00,2.398470952016519553e-01,1.475783301585640402e+03,1.423750926789329463e-01,1.376798727968516189e+01,9.509963644365373447e-01
2.680000000000000000e+02,3.738534521322508652e+01,8.857361986218570848e+00,2.386645175292237131e-01,1.478544357884611372e+03,1.433959015339576759e-01,1.384080686983658737e+01,9.542409349562216425e-01
2.690000000000000000e+02,3.745502904855503346e+01,8.870938096080710267e+00,2.374919013960443692e-01,1.481300267746489908e+03,1.444202599462614256e-01,1.391374530850343660e+01,9.574849153136073543e-01
2.700000000000000000e+02,3.752458347995605692e+01,8.884488994902911330e+00,2.363291278357468883e-01,1.484051059842357972e+03,1.454481674208576991e-01,1.398680237457123354e+01,9.607283087965213797e-01
2.710000000000000000e+02,3.759400922567690628e+01,8.898014822617536623e+00,2.351760797217915533e-01,1.486796762578070457e+03,1.464796234655126594e-01,1.405997784815506613e+01,9.639711186623748373e-01
2.720000000000000000e+02,3.766330699734650267e+01,8.911515717867249720e+00,2.340326417325426234e-01,1.489537404097673516e+03,1.475146275907192883e-01,1.413327151058822828e+01,9.672133481385575271e-01
2.730000000000000000e+02,3.773247750005901224e+01,8.924991818021583256e+00,2.328987003171322512e-01,1.492273012286773110e+03,1.485531793096727671e-01,1.420668314441101465e+01,9.704550004228219562e-01
2.740000000000000000e+02,3.780152143245757657e+01,8.938443259193252999e+00,2.317741436620884277e-01,1.495003614775845108e+03,1.495952781382454688e-01,1.428021253335966279e+01,9.736960786836642567e-01
2.750000000000000000e+02,3.787043948681661476e+01,8.951870176254191236e+00,2.306588616587078311e-01,1.497729238943491055e+03,1.506409235949625058e-01,1.435385946235541610e+01,9.769365860606965546e-01
2.760000000000000000e+02,3.793923234912283249e+01,8.965272702851329711e+00,2.295527458711548452e-01,1.500449911919639362e+03,1.516901152009774989e-01,1.442762371749374495e+01,9.801765256650150082e-01
2.770000000000000000e+02,3.800790069915488090e+01,8.978650971422123206e+00,2.284556895052671788e-01,1.503165660588698529e+03,1.527428524800490683e-01,1.450150508603372579e+01,9.834159005795615194e-01
2.780000000000000000e+02,3.807644521056170817e+01,8.992005113209806666e+00,2.273675873780517664e-01,1.505876511592654424e+03,1.537991349585169643e-01,1.457550335638749317e+01,9.866547138594777833e-01
2.790000000000000000e+02,3.814486655093968182e+01,9.005335258278430288e+00,2.262883358878504669e-01,1.508582491334122551e+03,1.548589621652791404e-01,1.464961831810989068e+01,9.898929685324560079e-01
2.800000000000000000e+02,3.821316538190845336e+01,9.018641535527628150e+00,2.252178329851619032e-01,1.511283625979343242e+03,1.559223336317684394e-01,1.472384976188819827e+01,9.931306675990828614e-01
